"Date","Name","Age","Occupation","Connection","Official_Cause","Circumstances","Investigation","Sources"
"1963-11-24","Jack Ruby","55","Nightclub owner","JFK assassination - shot Lee Harvey Oswald on live TV before he could stand trial","Died of cancer in prison 1967","Shot Oswald two days after JFK's assassination preventing any trial or testimony; claimed he would tell everything if moved to Washington DC; died from rapidly progressing lung cancer before his appeals concluded","Closed - died in custody; stated he wanted to tell more","https://en.wikipedia.org/wiki/Jack_Ruby"
"1963-11-30","Karyn Kupcinet","23","Actress and socialite","JFK assassination - her father reportedly received a forewarning call about the Kennedy assassination","Strangulation","Found strangled in her apartment; multiple reports suggest she tried to warn someone about the assassination the day before it happened; case was never solved","Unsolved murder","https://spartacus-educational.com/JFKdeaths.htm"
"1963-12-02","Grant Stockdale","40","Businessman and close Kennedy friend","JFK assassination - was a close personal friend of President Kennedy; told friends he knew things about the killing","Fall (ruled suicide)","Fell from the 13th floor of the Dupont Building in Miami; had been telling friends he had information about the Kennedy assassination; left no suicide note","Ruled suicide - no suicide note; disputed","https://spartacus-educational.com/JFKdeaths.htm"
"1964-03-24","Bill Hunter","35","Journalist","JFK assassination - had entered Jack Ruby's home after the assassination and interviewed his associates","Shooting (officer convicted of manslaughter)","Shot dead in Long Beach police station pressroom; Officer Creighton Wiggins first claimed accidental discharge but was convicted of manslaughter; Hunter had been actively investigating Ruby's network","Closed - officer convicted","https://spartacus-educational.com/JFKdeaths.htm"
"1964-05-08","Gary Underhill","48","CIA agent","JFK assassination - told friends he knew who killed Kennedy and that 'they' knew he knew","Gunshot (ruled suicide)","Found shot in the head; had told friends he knew who was responsible for Kennedy's assassination and feared for his own life","Ruled suicide - disputed by those who knew him","https://spartacus-educational.com/JFKdeaths.htm"
"1964-09-21","Jim Koethe","33","Dallas Times Herald reporter","JFK assassination - was investigating Jack Ruby and had access to Ruby's home days after assassination","Karate blow to the throat (murder)","Found dead in his Dallas apartment killed by a single karate chop to the throat; had been actively investigating Ruby's associates and network","Unsolved murder","https://spartacus-educational.com/JFKdeaths.htm"
"1965-11-08","Dorothy Kilgallen","52","Celebrity journalist and What's My Line panelist","JFK assassination - obtained the only private interview with Jack Ruby; told friends she had info to break the case wide open","Drug overdose (ruled accidental)","Found dead after securing a private interview with Ruby; told multiple friends she had obtained information that would expose the conspiracy; her notes and files disappeared after her death; her close friend Margaret Smith died two days later","Ruled accidental - notes vanished; close friend died two days later","https://spartacus-educational.com/JFKdeaths.htm"
"1967-02-22","David Ferrie","49","Pilot and CIA operative","JFK assassination - key target of Jim Garrison's investigation in New Orleans; was linked to Oswald","Brain aneurysm (ruled natural)","Died the night before he was scheduled to testify in Garrison's investigation; two typewritten notes found in his apartment; Garrison publicly stated he believed Ferrie was murdered","Ruled natural - Garrison disputed ruling","https://en.wikipedia.org/wiki/David_Ferrie"
"1967-02-22","Eladio del Valle","44","Anti-Castro Cuban exile leader","JFK assassination - was being actively sought by Jim Garrison's investigators on the same day Ferrie died","Gunshot and axe wounds (murder)","Found shot through the heart and struck with an axe on the exact same day David Ferrie died; both men were being simultaneously sought by Garrison's investigation","Unsolved murder","https://spartacus-educational.com/JFKdeaths.htm"
"1975-06-19","Sam Giancana","67","Chicago mob boss","JFK assassination - arranged CIA-mob cooperation; knew about CIA-mob plots against Castro and Kennedy","Murder by shooting","Shot in the back of the head in his own basement kitchen in Chicago; had been scheduled to testify before the Senate Intelligence Committee the following day about CIA-mob assassination plots","Confirmed murder - unsolved; killed the day before Senate testimony","https://en.wikipedia.org/wiki/Sam_Giancana"
"1976-11-07","Johnny Roselli","71","Chicago mob figure","JFK assassination - had testified about CIA-mob plots against Castro; was subpoenaed to testify again","Murder by asphyxiation and dismemberment","Found dismembered in an oil drum in Miami Bay; had recently testified before the Senate Intelligence Committee about CIA-mob plots against Castro and was subpoenaed to appear again","Confirmed murder - unsolved; killed before further testimony","https://en.wikipedia.org/wiki/Johnny_Roselli"
"1977-01-18","George de Mohrenschildt","65","Geologist and CIA asset","JFK assassination - was Lee Harvey Oswald's closest personal friend and confidant in Dallas","Gunshot (ruled suicide)","Found dead from a shotgun wound to the head on the same day a House Select Committee on Assassinations investigator finally made contact with him; had reportedly told the researcher he feared for his life","Ruled suicide - found same day HSCA investigator contacted him","https://en.wikipedia.org/wiki/George_de_Mohrenschildt"
"1977-03-29","Charlie Nicoletti","61","Chicago Outfit hitman","JFK assassination - connected to organized crime's role in the Kennedy killing; was scheduled to testify","Shotgun murder","Shot three times in the back of the head while sitting in his car in a Chicago parking lot; was scheduled to testify before the House Select Committee on Assassinations","Confirmed murder - unsolved; killed before HSCA testimony","https://spartacus-educational.com/JFKdeaths.htm"
"1977-09-24","John Paisley","55","CIA Deputy Director of Strategic Research","JFK assassination - reportedly possessed knowledge about Kennedy-era CIA operations and the assassination itself","Gunshot (ruled suicide)","Found floating in Maryland's Patuxent River with diving weights strapped to his body and a gunshot wound to the head; police initially described the death as 'execution-style' before officially ruling it suicide","Ruled suicide - police initially described as execution-style","https://spartacus-educational.com/JFKdeaths.htm"
"1977-11-09","William Sullivan","65","Former FBI Deputy Director","JFK assassination - was the senior FBI official involved in the Executive Action assassination project; scheduled to testify before HSCA","Hunting accident (ruled accidental)","Shot near his New Hampshire home during hunting season; had been scheduled to testify before the House Select Committee on Assassinations; one of six senior FBI officials to die in a six-month period in 1977","Ruled accidental - one of six senior FBI officials to die in six months in 1977","https://spartacus-educational.com/JFKdeaths.htm"
"1962-08-05","Marilyn Monroe","36","Actress and international celebrity","Kennedy family connections - had affairs with President Kennedy and Robert Kennedy; was reportedly upset at being dropped by both","Barbiturate overdose (ruled probable suicide)","Found dead from overdose of chloral hydrate and Nembutal; had been in contact with the Kennedys in her final days; her phone records before death and the movements of RFK associates that night remain subjects of dispute; her original police notes went missing","Ruled probable suicide - circumstances disputed for decades","https://en.wikipedia.org/wiki/Death_of_Marilyn_Monroe"
"1963-11-22","John F. Kennedy","46","35th US President","Political assassination - sitting President of the United States","Murder by shooting","Assassinated in Dallas Texas; Warren Commission ruled lone gunman Lee Harvey Oswald acting alone; House Select Committee on Assassinations in 1979 found a probable conspiracy; multiple witnesses subsequently died under unusual circumstances over the following years","Warren Commission: lone gunman; HSCA 1979: probable conspiracy","https://en.wikipedia.org/wiki/Assassination_of_John_F._Kennedy"
"1965-02-21","Malcolm X","39","Black nationalist leader and civil rights activist","FBI COINTELPRO - was under extensive FBI and NYPD surveillance and infiltration; his security had been compromised by informants","Murder by shooting","Shot dead at the Audubon Ballroom in Manhattan; three Nation of Islam members convicted; NYPD had an undercover officer present during the shooting; FBI informant witnessed the assassination without intervening; COINTELPRO documents confirm FBI worked to destroy his organization","Three convicted - government foreknowledge now documented by released records","https://en.wikipedia.org/wiki/Assassination_of_Malcolm_X"
"1968-04-04","Martin Luther King Jr.","39","Civil rights leader and Nobel Peace Prize winner","FBI COINTELPRO - FBI sent King an anonymous letter urging him to commit suicide; sought to destroy his reputation","Murder by shooting","Shot at the Lorraine Motel in Memphis Tennessee; James Earl Ray convicted and imprisoned; King family won a 1999 civil lawsuit finding that a Memphis police officer was part of a broader conspiracy that was known to the government; FBI COINTELPRO program against King is documented fact","Ray convicted; King family 1999 civil suit found broader conspiracy","https://en.wikipedia.org/wiki/Assassination_of_Martin_Luther_King_Jr."
"1968-06-05","Robert F. Kennedy","42","US Senator and Democratic Presidential frontrunner","Political assassination - was the frontrunner for the Democratic nomination and the expected future president","Murder by shooting","Shot at the Ambassador Hotel Los Angeles after winning the California primary; Sirhan Sirhan convicted and imprisoned; forensic evidence shows more shots were fired than Sirhan's gun could hold; RFK's fatal wounds entered from behind while Sirhan fired from in front; multiple witnesses described a second gunman","Sirhan convicted; physical evidence of second gunman disputed in court appeals","https://en.wikipedia.org/wiki/Assassination_of_Robert_F._Kennedy"
"1969-07-18","Mary Jo Kopechne","28","Robert Kennedy campaign worker and secretary","Kennedy family - was a passenger in Senator Ted Kennedy's car at Chappaquiddick Island; Kennedy fled the scene for 9 hours","Drowned in Senator Kennedy's car","Died when Senator Ted Kennedy drove his car off the Dike Bridge; Kennedy did not report the accident for approximately 9 hours; she may have survived in an air pocket for some time after the car sank; Kennedy pleaded guilty to leaving the scene of an accident and received a suspended sentence","Kennedy pleaded guilty to leaving accident scene; broader circumstances disputed","https://en.wikipedia.org/wiki/Death_of_Mary_Jo_Kopechne"
"1986-02-28","Olof Palme","59","Swedish Prime Minister","International peace advocacy and anti-apartheid activism","Murder by shooting","Swedish PM shot dead on a Stockholm street after leaving a cinema with his wife; perpetrator was never definitively identified despite a 38-year investigation that cost over $80 million; case formally closed in 2020 with chief suspect already dead","Confirmed murder - perpetrator never identified; case closed 2020","https://en.wikipedia.org/wiki/Assassination_of_Olof_Palme"
"1995-11-04","Yitzhak Rabin","73","Israeli Prime Minister","Israel-Palestine peace process - had signed the Oslo Accords; was pursuing a negotiated settlement against strong domestic opposition","Murder by shooting","Shot twice in the back at a peace rally in Tel Aviv by Jewish extremist Yigal Amir who opposed the Oslo peace process; Amir was convicted and remains imprisoned; some Israeli researchers have raised questions about aspects of the forensic evidence","Confirmed murder - Amir convicted","https://en.wikipedia.org/wiki/Assassination_of_Yitzhak_Rabin"
"1997-08-31","Princess Diana","36","Princess of Wales","British Royal Family - was reportedly engaged to Dodi Fayed; was outspoken about landmines and other politically sensitive causes","Car crash in Paris tunnel (UK inquest: unlawful killing by pursuing vehicles)","Died in crash in Paris Pont de l'Alma tunnel; French investigation ruled accident; British inquest jury in 2008 returned an unlawful killing verdict attributing death to the grossly negligent driving of pursuing vehicles while the car's driver was impaired","UK inquest jury 2008: unlawful killing by pursuing vehicles","https://en.wikipedia.org/wiki/Death_of_Diana_Princess_of_Wales"
"2000-10-16","Mel Carnahan","66","Missouri Governor and Democratic Senate candidate","Political - was challenging John Ashcroft for a Senate seat in one of the most contested races in the country","Plane crash in bad weather","Governor died when the small plane piloted by his son crashed in fog and instrument failure 18 days before the election; he posthumously won the Senate election","Ruled accidental - instrument failure and weather conditions","https://en.wikipedia.org/wiki/Mel_Carnahan"
"1999-07-16","John F. Kennedy Jr.","38","Magazine publisher and son of President Kennedy","Kennedy family - son of the assassinated president; was reportedly planning a Senate run","Plane crash (ruled pilot error - spatial disorientation)","Son of President Kennedy died when his small plane went into a graveyard spiral off Martha's Vineyard; wife and sister-in-law also died; NTSB ruled the cause was pilot spatial disorientation due to flying at night without an instrument rating","Ruled accidental - NTSB: pilot spatial disorientation","https://en.wikipedia.org/wiki/John_F._Kennedy_Jr."
"2007-12-27","Benazir Bhutto","54","Pakistani opposition leader and former Prime Minister","Pakistan - was returning from exile to contest elections; had survived a mass-casualty bombing six weeks earlier","Shooting and bomb attack assassination","Former Pakistani PM was killed at a political rally in Rawalpindi; was shot and then a suicide bomb exploded; her party and international observers accused elements of Pakistan's security services of complicity in the attack","Confirmed assassination - security service complicity alleged by family","https://en.wikipedia.org/wiki/Assassination_of_Benazir_Bhutto"
